# Program:featureCounts v2.0.1; Command:"featureCounts" "--verbose" "-a" "./PROKKA_06012021.gtf" "-t" "CDS" "-o" "final_featureCounts.txt" "./sorted_bam/AA24-1.sorted.bam" "./sorted_bam/AA24-2.sorted.bam" "./sorted_bam/AA24-3.sorted.bam" "./sorted_bam/AA3-1.sorted.bam" "./sorted_bam/AA3-2.sorted.bam" "./sorted_bam/AA3-3.sorted.bam" "./sorted_bam/AA72-1.sorted.bam" "./sorted_bam/AA72-2.sorted.bam" "./sorted_bam/AA72-3.sorted.bam" "./sorted_bam/AAF24-1.sorted.bam" "./sorted_bam/AAF24-2.sorted.bam" "./sorted_bam/AAF24-3.sorted.bam" "./sorted_bam/AAF3-1.sorted.bam" "./sorted_bam/AAF3-2.sorted.bam" "./sorted_bam/AAF3-3.sorted.bam" "./sorted_bam/AAF72-1.sorted.bam" "./sorted_bam/AAF72-2.sorted.bam" "./sorted_bam/AAF72-3.sorted.bam" "./sorted_bam/ABBL18TSB.sorted.bam" "./sorted_bam/ABGA24-1.sorted.bam" "./sorted_bam/ABGA24-2.sorted.bam" "./sorted_bam/ABGA24-3.sorted.bam" "./sorted_bam/ABGA3-1.sorted.bam" "./sorted_bam/ABGA3-2.sorted.bam" "./sorted_bam/ABGA3-3.sorted.bam" "./sorted_bam/ABGA72-1.sorted.bam" "./sorted_bam/ABGA72-2.sorted.bam" "./sorted_bam/ABGA72-3.sorted.bam" "./sorted_bam/ABGW24-1.sorted.bam" "./sorted_bam/ABGW24-2.sorted.bam" "./sorted_bam/ABGW24-3.sorted.bam" "./sorted_bam/ABGW3-1.sorted.bam" "./sorted_bam/ABGW3-2.sorted.bam" "./sorted_bam/ABGW3-3.sorted.bam" "./sorted_bam/ABGW72-1.sorted.bam" "./sorted_bam/ABGW72-2.sorted.bam" "./sorted_bam/ABGW72-3.sorted.bam" "./sorted_bam/AVEG24-1.sorted.bam" "./sorted_bam/AVEG24-2.sorted.bam" "./sorted_bam/AVEG24-3.sorted.bam" "./sorted_bam/AVEG3-1.sorted.bam" "./sorted_bam/AVEG3-2.sorted.bam" "./sorted_bam/AVEG3-3.sorted.bam" "./sorted_bam/AVEG72-1.sorted.bam" "./sorted_bam/AVEG72-2.sorted.bam" "./sorted_bam/AVEG72-3.sorted.bam" "./sorted_bam/AW24-1.sorted.bam" "./sorted_bam/AW24-2.sorted.bam" "./sorted_bam/AW24-3.sorted.bam" "./sorted_bam/AW3-1.sorted.bam" "./sorted_bam/AW3-2.sorted.bam" "./sorted_bam/AW3-3.sorted.bam" "./sorted_bam/AW72-1.sorted.bam" "./sorted_bam/AW72-2.sorted.bam" "./sorted_bam/AW72-3.sorted.bam" "-F" "GTF" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	./sorted_bam/AA24-1.sorted.bam	./sorted_bam/AA24-2.sorted.bam	./sorted_bam/AA24-3.sorted.bam	./sorted_bam/AA3-1.sorted.bam	./sorted_bam/AA3-2.sorted.bam	./sorted_bam/AA3-3.sorted.bam	./sorted_bam/AA72-1.sorted.bam	./sorted_bam/AA72-2.sorted.bam	./sorted_bam/AA72-3.sorted.bam	./sorted_bam/AAF24-1.sorted.bam	./sorted_bam/AAF24-2.sorted.bam	./sorted_bam/AAF24-3.sorted.bam	./sorted_bam/AAF3-1.sorted.bam	./sorted_bam/AAF3-2.sorted.bam	./sorted_bam/AAF3-3.sorted.bam	./sorted_bam/AAF72-1.sorted.bam	./sorted_bam/AAF72-2.sorted.bam	./sorted_bam/AAF72-3.sorted.bam	./sorted_bam/ABBL18TSB.sorted.bam	./sorted_bam/ABGA24-1.sorted.bam	./sorted_bam/ABGA24-2.sorted.bam	./sorted_bam/ABGA24-3.sorted.bam	./sorted_bam/ABGA3-1.sorted.bam	./sorted_bam/ABGA3-2.sorted.bam	./sorted_bam/ABGA3-3.sorted.bam	./sorted_bam/ABGA72-1.sorted.bam	./sorted_bam/ABGA72-2.sorted.bam	./sorted_bam/ABGA72-3.sorted.bam	./sorted_bam/ABGW24-1.sorted.bam	./sorted_bam/ABGW24-2.sorted.bam	./sorted_bam/ABGW24-3.sorted.bam	./sorted_bam/ABGW3-1.sorted.bam	./sorted_bam/ABGW3-2.sorted.bam	./sorted_bam/ABGW3-3.sorted.bam	./sorted_bam/ABGW72-1.sorted.bam	./sorted_bam/ABGW72-2.sorted.bam	./sorted_bam/ABGW72-3.sorted.bam	./sorted_bam/AVEG24-1.sorted.bam	./sorted_bam/AVEG24-2.sorted.bam	./sorted_bam/AVEG24-3.sorted.bam	./sorted_bam/AVEG3-1.sorted.bam	./sorted_bam/AVEG3-2.sorted.bam	./sorted_bam/AVEG3-3.sorted.bam	./sorted_bam/AVEG72-1.sorted.bam	./sorted_bam/AVEG72-2.sorted.bam	./sorted_bam/AVEG72-3.sorted.bam	./sorted_bam/AW24-1.sorted.bam	./sorted_bam/AW24-2.sorted.bam	./sorted_bam/AW24-3.sorted.bam	./sorted_bam/AW3-1.sorted.bam	./sorted_bam/AW3-2.sorted.bam	./sorted_bam/AW3-3.sorted.bam	./sorted_bam/AW72-1.sorted.bam	./sorted_bam/AW72-2.sorted.bam	./sorted_bam/AW72-3.sorted.bam
LJGBIDFA_00001	NODE_1_length_243214_cov_43.488979	115	1347	+	1233	319	1127	746	669	523	838	480	704	761	1581	572	979	915	2085	2141	2122	2350	2829	339	492	1147	1247	1002	1264	751	1420	1593	2119	830	574	1048	1131	1319	1189	1114	1288	703	649	370	413	353	420	208	348	366	685	2315	670	1193	812	683	927	824	651	1154
LJGBIDFA_00002	NODE_1_length_243214_cov_43.488979	1349	2329	+	981	194	420	431	474	343	395	341	356	383	964	410	665	572	1212	1632	1382	1478	1704	285	299	766	801	762	858	557	838	1032	1279	561	311	522	647	1061	668	817	1007	513	439	275	276	322	336	143	299	271	442	1471	317	649	594	410	692	613	359	760
LJGBIDFA_00003	NODE_1_length_243214_cov_43.488979	2348	2620	+	273	70	146	117	136	135	141	77	149	131	204	115	112	195	446	344	369	395	497	135	109	225	281	257	250	162	239	272	369	185	80	130	224	314	210	206	282	147	88	79	86	81	72	43	57	69	148	397	106	171	171	231	219	129	74	230
LJGBIDFA_00004	NODE_1_length_243214_cov_43.488979	2604	3752	-	1149	49	138	151	143	151	171	127	96	186	445	152	263	344	715	1115	674	973	1140	923	131	484	433	577	614	326	559	585	962	282	326	292	410	1062	530	542	1060	302	166	139	67	141	141	105	134	106	261	2387	582	985	546	417	798	618	402	1045
LJGBIDFA_00005	NODE_1_length_243214_cov_43.488979	3887	4903	+	1017	107	312	293	234	254	287	138	216	301	641	208	331	368	1134	1500	1377	1459	1853	1157	223	803	531	706	834	301	596	971	1524	335	196	241	443	952	578	703	1007	297	405	200	215	203	194	154	157	234	514	4062	1520	2268	1396	1059	1619	1159	1056	2106
LJGBIDFA_00006	NODE_1_length_243214_cov_43.488979	5238	5747	+	510	231	567	622	853	858	825	278	453	743	1825	387	1058	1760	3176	2514	2921	2907	3387	2161	484	1892	1748	2652	2198	1425	1937	1991	2175	829	623	801	1252	2872	1378	1208	2047	803	610	369	278	471	550	535	361	252	824	2758	949	1314	1713	1384	1751	1272	651	1265
LJGBIDFA_00007	NODE_1_length_243214_cov_43.488979	5755	6648	-	894	153	455	618	523	412	564	289	389	561	1883	306	1066	763	2509	2215	2697	2641	3078	870	200	1219	1204	984	1269	1164	1602	1629	2192	574	616	680	914	1372	1114	1004	1290	594	526	255	200	293	345	221	259	209	669	2123	659	933	1252	935	1191	603	488	920
LJGBIDFA_00008	NODE_1_length_243214_cov_43.488979	6810	6917	-	108	11	22	42	9	21	17	17	47	19	43	21	30	40	82	103	101	99	72	55	34	56	44	42	74	40	65	76	87	75	0	12	66	53	28	35	37	37	38	21	10	32	1	8	30	21	23	109	16	7	13	7	22	13	12	34
LJGBIDFA_00009	NODE_1_length_243214_cov_43.488979	6936	7700	-	765	256	650	480	185	189	239	284	518	610	1130	383	717	360	1227	1646	1637	1613	1849	1083	241	762	672	620	913	708	908	1029	1412	461	231	441	507	1045	625	563	980	349	573	350	373	268	307	209	294	392	608	1880	784	964	553	387	430	1289	1473	931
LJGBIDFA_00010	NODE_1_length_243214_cov_43.488979	7825	8298	-	474	19	134	84	208	213	304	29	47	75	831	46	743	559	554	450	681	488	518	347	99	304	497	496	478	422	365	442	376	386	221	474	381	598	518	368	460	308	153	23	32	53	115	49	31	48	137	496	219	306	563	634	443	191	164	214
LJGBIDFA_00011	NODE_1_length_243214_cov_43.488979	8419	11175	-	2757	13765	40721	31364	47857	47399	57243	15821	24659	28719	50917	41061	37060	74082	41391	27486	39938	28060	29274	25335	49464	32900	42809	43561	29207	30661	35543	39405	30308	43387	18476	46481	47145	33065	62896	30415	35615	43307	25305	24176	21955	28872	25053	15035	19424	20480	24195	42855	23665	40202	84212	105617	105490	25097	17366	19318
LJGBIDFA_00012	NODE_1_length_243214_cov_43.488979	11300	12112	-	813	342	996	1028	831	577	858	519	707	962	1931	720	1396	950	1812	2093	2108	2118	2452	702	823	1208	1117	1193	1186	516	1262	1451	1674	789	474	1001	987	1118	977	998	1284	686	1103	598	794	613	555	387	499	567	1017	1830	537	1095	961	624	908	614	497	880
LJGBIDFA_00013	NODE_1_length_243214_cov_43.488979	12112	13056	-	945	1980	4676	3974	3248	2719	4267	2115	3713	4216	5638	2929	4295	4788	4625	4479	5012	4290	4638	2231	2821	3590	4283	4063	3921	2697	4121	4105	4210	3737	2041	3892	4153	3578	4850	3095	3292	3007	2672	2150	2705	2763	2279	1209	1603	2609	2701	3865	1147	1692	3147	2887	3273	1539	1317	1443
LJGBIDFA_00014	NODE_1_length_243214_cov_43.488979	13141	13983	-	843	34	155	195	174	165	186	39	111	90	482	115	400	335	560	876	555	603	684	1226	122	336	390	333	543	290	425	399	652	309	255	352	451	790	660	429	509	253	229	105	68	122	140	107	144	75	342	684	147	207	309	229	252	196	155	213
LJGBIDFA_00015	NODE_1_length_243214_cov_43.488979	14053	15645	-	1593	232	663	563	546	374	485	331	479	545	1694	395	1044	534	2665	3936	3476	3913	4594	4429	423	1560	1360	1518	2051	1295	1977	2290	4080	744	905	611	1119	2976	1565	1779	3005	773	1129	546	373	387	557	374	507	440	1371	3389	788	1113	1606	962	1411	1067	681	1417
LJGBIDFA_00016	NODE_1_length_243214_cov_43.488979	15815	16882	-	1068	99	411	362	422	233	461	232	231	316	1649	133	1203	638	1686	2616	2021	2247	2822	723	150	1080	946	892	1124	891	993	1299	1700	668	508	705	766	1508	1030	691	1471	587	628	244	89	170	178	137	339	158	889	1546	546	639	698	546	601	443	396	668
LJGBIDFA_00017	NODE_1_length_243214_cov_43.488979	17009	17869	-	861	56	176	261	287	276	382	130	145	201	868	172	558	626	925	1447	1058	1154	1297	1073	189	538	625	740	880	541	604	593	856	453	150	457	506	817	749	412	695	340	387	207	96	186	171	127	179	121	523	878	260	314	428	298	389	228	129	333
LJGBIDFA_00018	NODE_1_length_243214_cov_43.488979	17992	19065	-	1074	379	922	781	1310	1724	1220	389	623	835	1699	1823	1255	2472	2372	3497	2072	2987	3449	4284	1839	1980	1558	2740	1587	1326	1794	1935	2537	1145	610	1073	1251	2560	2171	1505	3022	1105	2170	1548	1330	1296	1626	936	1271	1115	2397	7207	2364	3679	1870	1587	2365	1960	1428	4635
LJGBIDFA_00019	NODE_1_length_243214_cov_43.488979	19065	20510	-	1446	303	632	685	946	1121	1188	376	469	642	1835	1049	1141	2026	2629	6714	2875	4962	5594	4331	1151	1800	1323	1811	1765	710	1327	2384	3681	1037	483	1056	1012	2908	1647	1922	3967	946	1601	1039	627	798	975	617	1125	883	2342	13919	4916	6284	3122	2411	3821	3349	2475	7616
LJGBIDFA_00020	NODE_1_length_243214_cov_43.488979	20507	23569	-	3063	1408	3826	4098	3459	2458	4015	2189	2457	4372	10228	2556	6232	4439	17193	26787	16618	25740	30064	8410	2819	8864	5149	5977	10039	2760	7351	12745	19164	3037	1845	3433	3125	11292	5041	5111	13766	2831	5427	2349	1888	1563	1753	1303	2723	2008	7090	36807	13685	16261	10646	7520	11570	7171	5990	16485
LJGBIDFA_00021	NODE_1_length_243214_cov_43.488979	23948	24811	-	864	250	900	689	1276	1773	1096	458	414	646	3393	670	2756	3621	3040	2704	2928	2963	3692	4163	1173	3251	2947	3174	2488	2527	2601	2745	3097	2044	1541	2207	2509	2795	2694	2065	3167	1796	1071	761	506	924	1078	607	655	520	1054	1903	688	840	2049	2363	1877	525	531	1446
